LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,CONFIRMED,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,COUNCIL DISTRICT,LOCATION START DATE,LOCATION
0003073895-0001-0,PARADISE FACTORY LLC,,,385 W 20TH STREET,SAN PEDRO,90731-5503,385 20TH 90731-5503,,,,15,1/1/2018,"(33.7258, -118.2855)"
0003067561-0001-9,WALIBE SOLUTIONS INC,,,400 N MARINE AVENUE,WILMINGTON,90744-5629,400 MARINE 90744-5629,,,,15,1/1/2018,"(33.7744, -118.2629)"
0002201665-0001-0,DELTA-9 T.H.C.,DELTA-9 T.H.C,,824 E ANAHEIM STREET UNIT #B,WILMINGTON,90744-6833,824 ANAHEIM 90744-6833,824 E ANAHEIM STREET   UNIT #B,WILMINGTON,90744-6833,15,12/1/2006,"(33.7805, -118.2523)"
0002275038-0001-7,KUSH KORNER II,K.K.II,,813   CRISTOBAL AVENUE,WILMINGTON,90744-4708,813 CRISTOBAL 90744-4708,10058   SUNLAND BLVD,SUNLAND,91040-1649,15,9/13/2007,"(33.7816, -118.243)"
0002247121-0001-5,HERBAL SOLUTIONS SOUTHERN CALIFORNIA INC,EVOLV CANNABIS | LA BREA COMPASSIONATE CAREGIVERS,,25937   WESTERN AVENUE,LOMITA,90717-3361,25937 WESTERN 90717-3361,25937   WESTERN AVENUE,LOMITA,90717-3361,15,5/15/2007,"(33.7871, -118.3081)"
0003120815-0001-2,1429 LA LLC,,,1429   260TH STREET,HARBOR CITY,90710-3303,1429 260TH 90710-3303,1346   ELWOOD STREET,LOS ANGELES,90021-2413,15,1/1/2018,"(33.7872, -118.3022)"
0003120523-0001-2,1400 LA LLC,,,1429 260TH STREET UNIT #D,HARBOR CITY,90710-3303,1429 260TH 90710-3303,1346   ELWOOD STREET,LOS ANGELES,90021-2413,15,1/1/2018,"(33.7872, -118.3022)"
0003043880-0001-4,OPHIUCHUS INC,PCH HERBARIUM,,1605   PACIFIC COAST HIGHWAY   #107,HARBOR CITY,90710-2600,1605 PACIFIC COAST 90710-2600,,,,15,3/1/2018,"(33.7899, -118.3047)"
0002333808-0002-5,"GREEN EARTH PHARMACY, A CALIFORNIA NON-PROFIT MUTUAL BENEFIT CORPORATION",GREEN EARTH PHARMACY | KUSH,,1227 W 253RD STREET,HARBOR CITY,90710-2413,1227 253RD 90710-2413,,,,15,4/30/2007,"(33.795, -118.2982)"
0003075130-0001-2,KYLE S RYAN,,,1513   SEPULVEDA BLVD,TORRANCE,90501-5128,1513 SEPULVEDA 90501-5128,,,,15,1/1/2018,"(33.8157, -118.3039)"
0002246867-0001-7,SUNRISE CAREGIVER FOUNDATION INC,,,22865 LOCKNESS AVENUE,TORRANCE,90501-5103,22865 LOCKNESS 90501-5103,,,,15,3/13/2007,"(33.8176, -118.3065)"
0003068088-0001-4,CALMEDS FARMERS UNION,,,1606 LOCKNESS PLACE,TORRANCE,90501-5119,1606 LOCKNESS 90501-5119,1431 W PICO BLVD,LOS ANGELES,90015-2405,15,1/1/2018,"(33.8177, -118.3055)"
0003086540-0001-2,KC CURZ INC,,,22849   LOCKNESS AVENUE,TORRANCE,90501-5103,22849 LOCKNESS 90501-5103,,,,15,1/1/2018,"(33.8177, -118.3073)"
0002456876-0001-3,INFINITY MEDICAL ALLIANCE INC,,,1609   LOCKNESS PLACE,TORRANCE,90501-5119,1609 LOCKNESS 90501-5119,1609 LOCKNESS PLACE,TORRANCE,90501-5119,15,4/10/2007,"(33.8187, -118.3057)"
0002178173-0001-3,CRUZ VERDE INC,GREEN CROSS OF TORRANCE,,1658 W CARSON STREET SUITE # B C,TORRANCE,90501-2836,1658 CARSON 90501-2836,POST OFFICE BOX #955,NORTH HOLLYWOOD,91603-0955,15,11/1/2006,"(33.8314, -118.3079)"
