Zip,LAT,LNG,Num_Disp,Sac_City,LA_City,Total_Pop,Percent_Under_18_Years,Percent_Ages_18_to_24,Percent_18_and_Older,Percent_21_and_Older,Percent_60_and_Older,Number_Males,Percent_Male,Male_Median_Age,Number_Females,Pct_Female,Females_Median_Age,Total_Households,Households_with_Children,Pct_Households_with_Children,Pct_Owner_Occupied,Pct_Renter_Occupied,Household_Median_Income,Household_Median_Inc_Quintiles,Pct_Earned_Income_Past_12_Months
90021,34.0301241,-118.2417786,44,No,Yes,2945,11.3,5.7,88.7,86.8,12.2,1813,61.6,40.5,1132,38.4,35.2,1734,171,9.9,9,91,21635,Quintile 1,25.4
90058,34.00184246,-118.2211268,9,No,Yes,2718,41.1,10.4,58.9,53.1,4.7,1138,41.9,21.3,1580,58.1,25.3,706,336,47.6,12,88,21964,Quintile 1,40.9
90013,34.04602247,-118.2462496,2,No,Yes,12559,3.2,5.5,96.8,96.1,20.4,7969,63.5,44.6,4590,36.5,40.6,7308,256,3.5,7.8,92.2,22316,Quintile 1,20.2
90007,34.02833396,-118.2850766,4,No,Yes,42433,14.2,38.3,85.8,69.4,10.8,21877,51.6,23.7,20556,48.4,25.1,11919,2213,18.6,12.3,87.7,27406,Quintile 1,41.6
90037,34.00349356,-118.287097,1,No,Yes,67640,27.8,11,72.2,67.8,12.7,33928,50.2,29.8,33712,49.8,32.2,17699,6455,36.5,24.1,75.9,35424,Quintile 1,51.4
90017,34.05230101,-118.2633863,0,No,Yes,27723,21.4,10.1,78.6,75.1,12.4,14905,53.8,31.7,12818,46.2,31.6,11510,2441,21.2,4.2,95.8,35605,Quintile 1,31.1
90044,33.95386056,-118.291946,2,No,Yes,99443,29.6,10.4,70.4,66.2,13.1,46908,47.2,30.3,52535,52.8,32.9,29029,10847,37.4,29.4,70.6,35981,Quintile 1,48.9
90006,34.05010243,-118.292689,0,No,Yes,59576,22.2,9.4,77.8,74,15.6,29494,49.5,33.3,30082,50.5,35.3,19337,5598,28.9,9,91,37072,Quintile 1,33.5
90002,33.94895071,-118.2469796,1,No,Yes,53302,32.4,12.5,67.6,62.8,10.4,25422,47.7,27.4,27880,52.3,28.6,12917,5650,43.7,35,65,37285,Quintile 1,45.9
90057,34.06211203,-118.2771383,0,No,Yes,50152,22.4,9.7,77.6,74.2,14.8,27341,54.5,32,22811,45.5,35.1,17298,4652,26.9,3.7,96.3,37700,Quintile 1,36.9
90033,34.0485643,-118.21152,2,No,Yes,49155,29.1,11.5,70.9,66.3,15.4,23620,48.1,28.8,25535,51.9,33.2,13303,4887,36.7,18.7,81.3,38266,Quintile 1,46.1
90005,34.05907053,-118.3030171,0,No,Yes,39732,18.1,8.8,81.9,78.6,16.8,20041,50.4,34.6,19691,49.6,36.7,16781,3235,19.3,7.7,92.3,38491,Quintile 1,30.4
90003,33.96335005,-118.273936,1,No,Yes,73730,32.1,10.9,67.9,63,10,36135,49,27.2,37595,51,29.3,17484,7839,44.8,28.3,71.7,40598,Quintile 1,49.1
90014,34.04475373,-118.2527367,3,No,Yes,8688,1.5,5.9,98.5,96.8,26.4,5206,59.9,43.2,3482,40.1,38.6,5644,67,1.2,2.6,97.4,40641,Quintile 1,18.1
90011,34.00790374,-118.259037,4,No,Yes,111165,31.6,11.7,68.4,63.7,9.8,56227,50.6,28.6,54938,49.4,28.9,24433,11347,46.4,26,74,40940,Quintile 1,47.9
90029,34.089894,-118.2949093,3,No,Yes,36668,14.9,9,85.1,82.1,19,18469,50.4,35.9,18199,49.6,36.5,13997,2541,18.2,10.1,89.9,41998,Quintile 1,43.6
90061,33.92303275,-118.2737796,1,No,Yes,27873,27.5,10.2,72.5,68.3,14,13246,47.5,31.1,14627,52.5,31.7,7396,2760,37.3,41.9,58.1,42500,Quintile 1,44.1
90023,34.02418013,-118.2019566,33,No,Yes,46680,28.6,11.8,71.4,67.1,14,23685,50.7,30.1,22995,49.3,33.3,11691,4695,40.2,27.5,72.5,42972,Quintile 1,46.3
90001,33.97327405,-118.2489696,7,No,Yes,59832,31.7,11.3,68.3,63.3,10.9,30910,51.7,28.6,28922,48.3,29.6,13669,6033,44.1,35.9,64.1,43360,Quintile 1,45.7
90008,34.01097132,-118.3415877,0,No,Yes,31754,15.8,9.1,84.2,80.6,24.8,13922,43.8,40.8,17832,56.2,44.8,14858,2164,14.6,33,67,43364,Quintile 1,47.6
90015,34.04012196,-118.2649896,7,No,Yes,22651,17.7,13.2,82.3,77.1,10.7,11517,50.8,32,11134,49.2,31.8,10270,1674,16.3,11.7,88.3,43890,Quintile 1,26.6
90059,33.92701277,-118.2483961,0,No,Yes,46185,34.3,11.4,65.7,60.3,11.1,21894,47.4,25.3,24291,52.6,29.2,10906,4561,41.8,47.1,52.9,44838,Quintile 1,48.6
90028,34.10072175,-118.3282182,1,No,Yes,29774,6.8,11.5,93.2,89,17.2,16031,53.8,36.4,13743,46.2,35.7,16403,998,6.1,4.7,95.3,45499,Quintile 1,37.7
