,Zip,Cluster_Labels,LAT,LNG,Num_Disp,Total_Households,Household_Median_Income
0,90001,2,33.97327405,-118.2489696,7,13669,43360
1,90002,2,33.94895071,-118.2469796,1,12917,37285
2,90003,2,33.96335005,-118.273936,1,17484,40598
3,90004,2,34.07572059,-118.3030171,1,22004,49675
4,90005,3,34.05907053,-118.3030171,0,16781,38491
5,90006,2,34.05010243,-118.292689,0,19337,37072
6,90007,3,34.02833396,-118.2850766,4,11919,27406
7,90008,2,34.01097132,-118.3415877,0,14858,43364
8,90010,2,34.06139076,-118.3096997,0,2029,63112
9,90011,2,34.00790374,-118.259037,4,24433,40940
10,90012,2,34.0594833,-118.242048,1,13216,47027
11,90013,2,34.04602247,-118.2462496,2,7308,22316
12,90014,2,34.04475373,-118.2527367,3,5644,40641
13,90015,1,34.04012196,-118.2649896,7,10270,43890
14,90016,2,34.02888143,-118.353089,4,17218,48715
15,90017,0,34.05230101,-118.2633863,0,11510,35605
16,90018,2,34.03077151,-118.316869,1,16568,45984
17,90019,2,34.04884238,-118.3361087,6,24464,56389
18,90020,3,34.06636145,-118.3016484,1,16396,49068
19,90021,2,34.0301241,-118.2417786,44,1734,21635
20,90023,2,34.02418013,-118.2019566,33,11691,42972
21,90024,3,34.06136034,-118.4402367,3,16515,65855
22,90025,2,34.04518389,-118.4502563,3,22015,87280
23,90026,2,34.07687201,-118.265359,2,26045,65269
24,90027,2,34.10546215,-118.2923675,1,21668,66947
25,90028,1,34.10072175,-118.3282182,1,16403,45499
26,90029,2,34.089894,-118.2949093,3,13997,41998
27,90031,2,34.07752376,-118.2131059,1,11739,48479
28,90032,2,34.08151248,-118.176786,3,13493,57225
29,90033,2,34.0485643,-118.21152,2,13303,38266
30,90034,3,34.02829051,-118.4026959,1,25248,75714
31,90035,2,34.05428233,-118.3838559,1,11816,89337
32,90036,3,34.06892065,-118.3508078,3,18559,80539
33,90037,2,34.00349356,-118.287097,1,17699,35424
34,90038,3,34.08898154,-118.3248377,2,12229,47116
35,90039,1,34.11160164,-118.2612573,5,11685,90538
36,90041,2,34.13538186,-118.2068491,1,9661,85971
37,90042,2,34.11332226,-118.1914287,1,21017,64267
38,90043,2,33.98673053,-118.3329064,2,17376,54729
39,90044,2,33.95386056,-118.291946,2,29029,35981
40,90045,2,33.96152081,-118.3934497,3,15622,104578
41,90046,1,34.09715015,-118.3582682,3,29025,72266
42,90047,2,33.95687165,-118.3090784,3,17893,52605
43,90048,2,34.07316138,-118.3740667,6,11636,100586
44,90049,3,34.06172098,-118.4722594,0,16720,129688
45,90056,1,33.98651328,-118.3696,0,3412,92656
