,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,34.0301241,-118.2417786,Joker Party Supply,34.03005979,-118.2422297,Miscellaneous Shop
1,34.0301241,-118.2417786,Los Angeles Times Press Room,34.02833281,-118.2368525,Building
2,34.0301241,-118.2417786,Los Angeles Wholesale Produce Market,34.03184213,-118.2421007,Farmers Market
3,34.0301241,-118.2417786,Davalan Sales,34.030091,-118.241833,Food
4,34.0301241,-118.2417786,american celebrations party supplies,34.029739,-118.241905,Arts & Crafts Store
5,34.0301241,-118.2417786,Avina's Tacos,34.030337,-118.242077,Taco Place
6,34.0301241,-118.2417786,Metro by T-Mobile,34.031243,-118.244962,Mobile Phone Shop
7,34.0301241,-118.2417786,Cooseman’s LA,34.030306,-118.241306,Warehouse
8,34.0301241,-118.2417786,Pinata District,34.03228858,-118.2438196,General Entertainment
9,34.0301241,-118.2417786,Torn & Glasser,34.029281,-118.241504,Building
10,34.0301241,-118.2417786,Studio Servitu,34.02892501,-118.2400905,Speakeasy
11,34.0301241,-118.2417786,Better Life Organics,34.0305738,-118.241701,Building
12,34.0301241,-118.2417786,Sam's Hofbrau,34.02864538,-118.2400307,Strip Club
13,34.0301241,-118.2417786,McDonald's,34.031392,-118.2440353,Fast Food Restaurant
14,34.0301241,-118.2417786,Boost Mobile,34.032622,-118.244435,Mobile Phone Shop
15,34.0301241,-118.2417786,Parking Structure - Row DTLA,34.032882,-118.240264,Parking
16,34.0301241,-118.2417786,Cemitas Poblanas,34.03263354,-118.2438139,Food Truck
17,34.0301241,-118.2417786,Bolo,34.031889,-118.239162,Food Stand
18,34.0301241,-118.2417786,Yoshinoya,34.02816649,-118.2392535,Restaurant
19,34.0301241,-118.2417786,Red Hot Chilis,34.02914,-118.242076,Food Service
20,34.0301241,-118.2417786,Reach L.A.,34.03066629,-118.2431972,Event Space
21,34.0301241,-118.2417786,AY Customs - Technic 1200 Series Customization,34.03049469,-118.2448196,Electronics Store
22,34.0301241,-118.2417786,"Nava Produce, Co.",34.03000195,-118.243831,Farmers Market
23,34.0301241,-118.2417786,Article Indéfini,34.033372,-118.240425,Clothing Store
24,34.0301241,-118.2417786,Dream Market,34.031887,-118.24478,Liquor Store
25,34.0301241,-118.2417786,Mercado Latino Wholesale,34.03116989,-118.2435837,Farmers Market
26,34.0301241,-118.2417786,L.A. Electronics - Exotic Kreations,34.03169,-118.245561,Electronics Store
27,34.0301241,-118.2417786,kohk & sahk,34.031641,-118.239683,Food & Drink Shop
28,34.0301241,-118.2417786,800 S Central,34.032349,-118.244127,Doctor's Office
29,34.0301241,-118.2417786,pillar box Studios,34.03185747,-118.2434941,Theater
30,34.0301241,-118.2417786,Tacos El Gavilan,34.03272629,-118.2416534,Taco Place
31,34.0301241,-118.2417786,Macheen,34.031445,-118.23886,Mexican Restaurant
32,34.0301241,-118.2417786,F&M Studios,34.02873,-118.239973,Music Venue
